NUTS0_CODE,NUTS0_NAME,NUTS2_CODE,NUTS2_NAME,NUTS_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PRC_UAA_AV,NUTS_AREA,PRC_NUTS_AV
FR,France,FR2,Bassin Parisien (NUTS 2013),NUTS1,R2000,,,,,14564.49,
FR,France,FR21,Champagne-Ardenne (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR22,Picardie (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR23,Haute-Normandie (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR24,Centre (FR) (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR25,Basse-Normandie (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR26,Bourgogne (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR3,Nord-Pas-de-Calais (NUTS 2013),NUTS1,R2000,,,,,1241.41,
FR,France,FR30,Nord-Pas-de-Calais (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR4,Est (FR) (NUTS 2013),NUTS1,R2000,,,,,4802.99,
FR,France,FR41,Lorraine (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR42,Alsace (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR43,Franche-Comté (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR5,Ouest (FR) (NUTS 2013),NUTS1,R2000,,,,,8509.92,
FR,France,FR51,Pays de la Loire (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR52,Bretagne (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR53,Poitou-Charentes (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR6,Sud-Ouest (FR) (NUTS 2013),NUTS1,R2000,,,,,10359.87,
FR,France,FR61,Aquitaine (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR62,Midi-Pyrénées (NUTS 2013),NUTS2,R2000,,,,,,
FR,France,FR63,Limousin (NUTS 2013),NUTS2,R2000,,,,,,
